iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
bwa,197,105,clay content (0-30 cms),22,22,8,27,10,26
eth,179,1007,veg_c (above ground biomass),1,1,0,84,0,2
eth,179,1007,veg_c (below ground biomass),1,1,0,68,0,2
bwa,197,106,clay content (0-30 cms),22,22,8,27,10,26
eth,179,1101,veg_c (above ground biomass),1,1,0,29,1,3
eth,179,1101,veg_c (below ground biomass),2,2,0,38,1,5
bwa,197,107,clay content (0-30 cms),22,22,8,27,10,26
eth,179,1102,veg_c (above ground biomass),2,1,0,30,1,4
eth,179,1102,veg_c (below ground biomass),2,2,0,37,1,4
che,32,501,clay content (0-30 cms),22,22,7,33,19,26
eth,179,1103,veg_c (above ground biomass),2,1,0,31,1,4
eth,179,1103,veg_c (below ground biomass),2,2,0,36,1,4
che,32,502,clay content (0-30 cms),24,22,7,33,19,26
eth,179,1104,veg_c (above ground biomass),3,2,0,45,1,5
eth,179,1104,veg_c (below ground biomass),1,1,0,21,0,3
che,32,503,clay content (0-30 cms),23,22,7,33,19,26
eth,179,1105,veg_c (above ground biomass),2,1,0,26,1,3
eth,179,1105,veg_c (below ground biomass),3,2,0,40,1,5
che,32,505,clay content (0-30 cms),23,22,7,33,19,26
eth,179,1106,veg_c (above ground biomass),2,1,0,27,1,3
eth,179,1106,veg_c (below ground biomass),2,2,0,39,1,5
che,32,506,clay content (0-30 cms),21,22,7,33,19,26
eth,179,1107,veg_c (above ground biomass),1,1,0,26,1,3
eth,179,1107,veg_c (below ground biomass),2,2,0,40,1,5
che,32,507,clay content (0-30 cms),21,22,7,33,19,26
eth,179,1201,veg_c (above ground biomass),1,1,0,103,0,3
eth,179,1201,veg_c (below ground biomass),1,1,0,52,0,1
chl,169,1201,clay content (0-30 cms),23,22,17,31,21,26
eth,179,1202,veg_c (above ground biomass),1,1,0,87,0,2
eth,179,1202,veg_c (below ground biomass),1,1,0,67,0,2
chl,169,1202,clay content (0-30 cms),24,22,17,31,21,26
eth,179,1203,veg_c (above ground biomass),1,1,0,123,0,3
chl,169,1205,clay content (0-30 cms),26,22,17,31,21,26
eth,179,1204,veg_c (above ground biomass),2,1,0,82,0,2
eth,179,1204,veg_c (below ground biomass),2,1,0,73,0,2
chl,169,1207,clay content (0-30 cms),25,22,17,31,21,26
chl,207,201,clay content (0-30 cms),23,22,17,29,17,26
eth,179,1206,veg_c (above ground biomass),1,1,0,97,0,3
eth,179,1206,veg_c (below ground biomass),1,1,0,57,0,2
chl,207,202,clay content (0-30 cms),23,22,17,29,17,26
eth,179,1207,veg_c (above ground biomass),1,1,0,99,0,3
chl,207,205,clay content (0-30 cms),24,22,17,29,17,26
chl,207,207,clay content (0-30 cms),24,22,17,29,17,26
chn,42,1501,clay content (0-30 cms),21,22,19,26,19,26
chn,42,1502,clay content (0-30 cms),21,22,19,26,19,26
eth,179,1405,veg_c (above ground biomass),1,1,0,31,0,2
chn,43,1101,clay content (0-30 cms),22,22,14,31,18,26
eth,179,1407,veg_c (above ground biomass),1,1,0,32,0,2
chn,43,1102,clay content (0-30 cms),22,22,14,31,18,26
eri,179,1001,clay content (0-30 cms),22,22,11,34,18,26
eri,179,1002,clay content (0-30 cms),22,22,11,34,18,26
fra,41,501,clay content (0-30 cms),22,22,0,39,19,26
fra,41,502,clay content (0-30 cms),23,22,0,39,19,26
fra,41,503,clay content (0-30 cms),29,22,0,39,19,26
fra,41,505,clay content (0-30 cms),23,22,0,39,19,26
fra,41,506,clay content (0-30 cms),21,22,0,39,19,26
fra,41,507,clay content (0-30 cms),23,22,0,39,19,26
gbr,26,501,clay content (0-30 cms),22,22,0,38,18,26
gbr,26,502,clay content (0-30 cms),23,22,0,38,18,26
gbr,26,503,clay content (0-30 cms),24,22,0,38,18,26
gbr,26,505,clay content (0-30 cms),21,22,0,38,18,26
gbr,26,506,clay content (0-30 cms),23,22,0,38,18,26
gbr,26,507,clay content (0-30 cms),21,22,0,38,18,26
irn,52,1201,clay content (0-30 cms),22,22,10,42,18,26
irn,52,1202,clay content (0-30 cms),22,22,10,42,18,26
irn,52,1203,clay content (0-30 cms),25,22,10,42,18,26
irn,52,1205,clay content (0-30 cms),24,22,10,42,18,26
irn,52,1206,clay content (0-30 cms),25,22,10,42,18,26
irn,52,1207,clay content (0-30 cms),25,22,10,42,18,26
irn,104,1,clay content (0-30 cms),23,22,16,30,20,26
irn,104,2,clay content (0-30 cms),23,22,16,30,20,26
irn,104,1201,clay content (0-30 cms),25,22,0,33,18,26
irn,104,1202,clay content (0-30 cms),23,22,0,33,18,26
jpn,51,701,clay content (0-30 cms),23,22,10,32,15,26
fin,8,1307,veg_c (below ground biomass),1,0,0,3,0,0
jpn,51,702,clay content (0-30 cms),21,22,10,32,15,26
jpn,51,703,clay content (0-30 cms),15,22,10,32,15,26
jpn,51,704,clay content (0-30 cms),21,22,10,32,15,26
jpn,51,705,clay content (0-30 cms),22,22,10,32,15,26
jpn,51,706,clay content (0-30 cms),14,22,10,32,15,26
jpn,51,707,clay content (0-30 cms),23,22,10,32,15,26
jpn,51,1101,clay content (0-30 cms),23,22,0,35,17,26
jpn,51,1102,clay content (0-30 cms),21,22,0,35,17,26
jpn,51,1103,clay content (0-30 cms),16,22,0,35,17,26
fin,12,702,veg_c (above ground biomass),2,2,0,42,1,3
fin,12,702,veg_c (below ground biomass),1,1,0,24,1,2
jpn,51,1105,clay content (0-30 cms),21,22,0,35,17,26
fin,12,703,veg_c (above ground biomass),3,2,0,44,1,3
fin,12,703,veg_c (below ground biomass),1,1,0,22,1,2
jpn,51,1106,clay content (0-30 cms),16,22,0,35,17,26
fin,12,705,veg_c (above ground biomass),2,2,0,42,1,3
fin,12,705,veg_c (below ground biomass),1,1,0,24,1,2
jpn,51,1107,clay content (0-30 cms),22,22,0,35,17,26
kor,65,501,clay content (0-30 cms),22,22,0,33,18,26
kor,65,502,clay content (0-30 cms),22,22,0,33,18,26
kor,65,503,clay content (0-30 cms),19,22,0,33,18,26
kor,65,504,clay content (0-30 cms),21,22,0,33,18,26
kor,65,505,clay content (0-30 cms),20,22,0,33,18,26
kor,65,506,clay content (0-30 cms),17,22,0,33,18,26
kor,65,507,clay content (0-30 cms),21,22,0,33,18,26
lux,32,1001,clay content (0-30 cms),24,22,16,29,19,26
lux,32,1002,clay content (0-30 cms),23,22,16,29,19,26
fin,12,1202,veg_c (above ground biomass),1,2,0,108,1,8
lux,32,1003,clay content (0-30 cms),20,22,16,29,19,26
fin,12,1203,veg_c (above ground biomass),2,1,0,42,0,3
fin,12,1203,veg_c (below ground biomass),2,0,0,27,0,2
lux,32,1004,clay content (0-30 cms),20,22,16,29,19,26
lux,32,1005,clay content (0-30 cms),23,22,16,29,19,26
lux,32,1006,clay content (0-30 cms),21,22,16,29,19,26
fin,12,1301,veg_c (below ground biomass),1,0,0,17,0,1
lux,32,1007,clay content (0-30 cms),24,22,16,29,19,26
nld,36,501,clay content (0-30 cms),22,22,3,30,13,26
nld,36,502,clay content (0-30 cms),23,22,3,30,13,26
nld,36,503,clay content (0-30 cms),21,22,3,30,13,26
nld,36,504,clay content (0-30 cms),21,22,3,30,13,26
nld,36,505,clay content (0-30 cms),24,22,3,30,13,26
nld,36,506,clay content (0-30 cms),20,22,3,30,13,26
nld,36,507,clay content (0-30 cms),21,22,3,30,13,26
rus,43,401,clay content (0-30 cms),22,22,0,39,19,26
rus,43,402,clay content (0-30 cms),22,22,0,39,19,26
rus,43,403,clay content (0-30 cms),19,22,0,39,19,26
rus,43,404,clay content (0-30 cms),16,22,0,39,19,26
fin,13,403,veg_c (above ground biomass),3,6,0,78,4,7
fin,13,403,veg_c (below ground biomass),1,1,0,14,1,1
rus,43,405,clay content (0-30 cms),22,22,0,39,19,26
fin,13,404,veg_c (above ground biomass),4,5,0,67,3,6
fin,13,404,veg_c (below ground biomass),2,2,0,25,1,2
rus,43,406,clay content (0-30 cms),18,22,0,39,19,26
fin,13,405,veg_c (above ground biomass),4,5,0,70,3,7
fin,13,405,veg_c (below ground biomass),1,2,0,22,1,2
rus,43,407,clay content (0-30 cms),21,22,0,39,19,26
fin,13,406,veg_c (above ground biomass),4,5,0,65,3,6
fin,13,406,veg_c (below ground biomass),2,2,0,28,1,3
svk,54,401,clay content (0-30 cms),19,22,13,29,16,26
fin,13,407,veg_c (above ground biomass),4,5,0,67,3,6
fin,13,407,veg_c (below ground biomass),2,2,0,26,1,2
svk,54,402,clay content (0-30 cms),18,22,13,29,16,26
fin,13,501,veg_c (above ground biomass),5,5,1,61,3,6
fin,13,501,veg_c (below ground biomass),2,2,0,24,1,2
svk,54,403,clay content (0-30 cms),16,22,13,29,16,26
fin,13,502,veg_c (above ground biomass),5,5,1,61,3,6
fin,13,502,veg_c (below ground biomass),2,2,0,24,1,2
svk,54,404,clay content (0-30 cms),17,22,13,29,16,26
svk,54,405,clay content (0-30 cms),16,22,13,29,16,26
svk,54,406,clay content (0-30 cms),16,22,13,29,16,26
svk,54,407,clay content (0-30 cms),17,22,13,29,16,26
svk,54,501,clay content (0-30 cms),20,22,7,39,16,26
svk,54,502,clay content (0-30 cms),20,22,7,39,16,26
svk,54,503,clay content (0-30 cms),18,22,7,39,16,26
svk,54,504,clay content (0-30 cms),14,22,7,39,16,26
svk,54,505,clay content (0-30 cms),20,22,7,39,16,26
svk,54,506,clay content (0-30 cms),15,22,7,39,16,26
fin,13,703,veg_c (above ground biomass),2,3,0,51,1,4
fin,13,703,veg_c (below ground biomass),1,1,0,28,1,2
svk,54,507,clay content (0-30 cms),19,22,7,39,16,26
fin,13,704,veg_c (above ground biomass),2,3,0,51,1,4
fin,13,704,veg_c (below ground biomass),1,1,0,28,1,2
svk,54,1001,clay content (0-30 cms),20,22,7,34,17,26
fin,13,705,veg_c (above ground biomass),3,3,0,52,2,4
fin,13,705,veg_c (below ground biomass),1,1,0,27,1,2
svk,54,1002,clay content (0-30 cms),21,22,7,34,17,26
fin,13,706,veg_c (above ground biomass),3,3,0,52,2,4
fin,13,706,veg_c (below ground biomass),1,1,0,27,1,2
svk,54,1003,clay content (0-30 cms),16,22,7,34,17,26
fin,13,707,veg_c (above ground biomass),3,3,0,52,2,4
fin,13,707,veg_c (below ground biomass),2,1,0,27,1,2
svk,54,1004,clay content (0-30 cms),15,22,7,34,17,26
svk,54,1005,clay content (0-30 cms),20,22,7,34,17,26
svk,54,1006,clay content (0-30 cms),15,22,7,34,17,26
svk,54,1007,clay content (0-30 cms),19,22,7,34,17,26
svn,54,401,clay content (0-30 cms),23,22,17,28,17,26
svn,54,402,clay content (0-30 cms),24,22,17,28,17,26
svn,54,405,clay content (0-30 cms),22,22,17,28,17,26
svn,54,406,clay content (0-30 cms),22,22,17,28,17,26
svn,54,407,clay content (0-30 cms),22,22,17,28,17,26
tgo,142,901,clay content (0-30 cms),20,22,14,37,18,26
tgo,142,902,clay content (0-30 cms),23,22,14,37,18,26
fin,13,1201,veg_c (above ground biomass),2,2,0,40,1,3
fin,13,1201,veg_c (below ground biomass),1,1,0,21,0,2
tgo,142,903,clay content (0-30 cms),25,22,14,37,18,26
fin,13,1202,veg_c (above ground biomass),2,2,0,38,0,3
fin,13,1202,veg_c (below ground biomass),1,1,0,23,0,2
tgo,142,904,clay content (0-30 cms),22,22,14,37,18,26
fin,13,1203,veg_c (above ground biomass),2,2,0,37,0,3
fin,13,1203,veg_c (below ground biomass),1,2,0,25,0,2
tgo,142,905,clay content (0-30 cms),25,22,14,37,18,26
fin,13,1206,veg_c (above ground biomass),3,2,0,40,1,3
fin,13,1206,veg_c (below ground biomass),1,1,0,22,0,2
tgo,142,906,clay content (0-30 cms),27,22,14,37,18,26
fin,13,1207,veg_c (above ground biomass),2,2,0,39,1,3
fin,13,1207,veg_c (below ground biomass),1,1,0,22,0,2
tgo,142,907,clay content (0-30 cms),27,22,14,37,18,26
fin,17,401,veg_c (above ground biomass),5,5,0,63,4,6
fin,17,401,veg_c (below ground biomass),2,2,0,24,1,2
tkm,58,1201,clay content (0-30 cms),23,22,16,37,19,26
fin,17,402,veg_c (above ground biomass),5,5,0,62,4,6
fin,17,402,veg_c (below ground biomass),2,2,0,24,1,2
tkm,58,1202,clay content (0-30 cms),23,22,16,37,19,26
fin,17,405,veg_c (above ground biomass),5,5,0,63,4,6
fin,17,405,veg_c (below ground biomass),2,2,0,23,1,2
tkm,58,1203,clay content (0-30 cms),26,22,16,37,19,26
fin,17,601,veg_c (above ground biomass),5,5,0,64,4,6
fin,17,601,veg_c (below ground biomass),2,2,0,25,1,2
tkm,58,1205,clay content (0-30 cms),24,22,16,37,19,26
fin,17,602,veg_c (above ground biomass),4,5,0,64,4,6
fin,17,602,veg_c (below ground biomass),2,2,0,25,1,2
tkm,58,1206,clay content (0-30 cms),24,22,16,37,19,26
fin,17,605,veg_c (above ground biomass),5,5,0,64,4,6
fin,17,605,veg_c (below ground biomass),2,2,0,25,1,2
tkm,58,1207,clay content (0-30 cms),24,22,16,37,19,26
tur,70,601,clay content (0-30 cms),24,22,9,31,18,26
tur,70,602,clay content (0-30 cms),22,22,9,31,18,26
fin,17,1005,veg_c (above ground biomass),5,5,0,64,3,6
fin,17,1005,veg_c (below ground biomass),2,2,0,24,1,2
ukr,54,501,clay content (0-30 cms),20,22,10,38,17,26
ukr,54,502,clay content (0-30 cms),20,22,10,38,17,26
ukr,54,503,clay content (0-30 cms),17,22,10,38,17,26
ukr,54,504,clay content (0-30 cms),16,22,10,38,17,26
ukr,54,505,clay content (0-30 cms),19,22,10,38,17,26
ukr,54,506,clay content (0-30 cms),15,22,10,38,17,26
ukr,54,507,clay content (0-30 cms),17,22,10,38,17,26
usa,220,1201,clay content (0-30 cms),23,22,8,46,18,26
usa,220,1202,clay content (0-30 cms),23,22,8,46,18,26
fji,185,1003,veg_c (above ground biomass),1,0,1,38,1,1
usa,220,1203,clay content (0-30 cms),22,22,8,46,18,26
fji,185,1004,veg_c (above ground biomass),1,0,1,41,1,1
usa,220,1204,clay content (0-30 cms),24,22,8,46,18,26
fji,185,1005,veg_c (above ground biomass),1,0,1,37,1,1
usa,220,1205,clay content (0-30 cms),24,22,8,46,18,26
fji,185,1006,veg_c (above ground biomass),1,0,1,41,1,1
usa,220,1206,clay content (0-30 cms),20,22,8,46,18,26
fji,185,1007,veg_c (above ground biomass),1,0,1,34,1,1
usa,220,1207,clay content (0-30 cms),23,22,8,46,18,26
usa,222,1001,clay content (0-30 cms),21,22,0,44,17,26
usa,222,1002,clay content (0-30 cms),23,22,0,44,17,26
usa,222,1003,clay content (0-30 cms),21,22,0,44,17,26
usa,222,1004,clay content (0-30 cms),21,22,0,44,17,26
flk,215,1001,veg_c (below ground biomass),1,1,0,50,0,1
usa,222,1005,clay content (0-30 cms),25,22,0,44,17,26
flk,215,1002,veg_c (below ground biomass),1,1,0,51,0,1
usa,222,1006,clay content (0-30 cms),21,22,0,44,17,26
flk,215,1003,veg_c (below ground biomass),1,1,0,50,0,1
usa,222,1007,clay content (0-30 cms),22,22,0,44,17,26
flk,215,1005,veg_c (below ground biomass),1,1,0,50,0,1
zaf,204,101,clay content (0-30 cms),22,22,15,27,15,26
flk,215,1006,veg_c (below ground biomass),1,1,0,49,0,1
zaf,204,102,clay content (0-30 cms),22,22,15,27,15,26
flk,215,1007,veg_c (below ground biomass),1,1,0,47,0,1
zmb,188,1401,clay content (0-30 cms),19,22,0,33,19,26
fra,32,401,veg_c (above ground biomass),5,6,1,74,4,7
fra,32,401,veg_c (below ground biomass),2,2,0,25,2,2
zmb,188,1402,clay content (0-30 cms),23,22,0,33,19,26
fra,32,402,veg_c (above ground biomass),5,6,1,74,4,7
fra,32,402,veg_c (below ground biomass),2,2,0,25,2,2
zmb,188,1405,clay content (0-30 cms),20,22,0,33,19,26
fra,32,405,veg_c (above ground biomass),5,6,1,74,4,7
fra,32,405,veg_c (below ground biomass),2,2,0,25,2,2
zmb,188,1407,clay content (0-30 cms),20,22,0,33,19,26
fra,32,407,veg_c (above ground biomass),5,6,1,74,4,7
fra,32,407,veg_c (below ground biomass),2,2,0,25,2,2
afg,89,1201,clay content (0-30 cms),21,23,4,33,19,26
fra,32,501,veg_c (above ground biomass),4,5,1,131,1,8
fra,32,501,veg_c (below ground biomass),1,2,0,47,0,3
afg,89,1202,clay content (0-30 cms),24,23,4,33,19,26
fra,32,502,veg_c (above ground biomass),4,5,1,132,1,8
fra,32,502,veg_c (below ground biomass),2,2,0,46,0,3
arg,212,1201,clay content (0-30 cms),23,23,8,39,19,26
fra,32,503,veg_c (above ground biomass),4,5,1,133,1,8
fra,32,503,veg_c (below ground biomass),2,2,0,45,0,3
arg,212,1202,clay content (0-30 cms),23,23,8,39,19,26
fra,32,505,veg_c (above ground biomass),5,5,1,134,1,8
fra,32,505,veg_c (below ground biomass),2,2,0,44,0,3
arg,212,1203,clay content (0-30 cms),22,23,8,39,19,26
fra,32,506,veg_c (above ground biomass),3,4,1,126,1,8
fra,32,506,veg_c (below ground biomass),1,2,0,52,0,3
arg,212,1205,clay content (0-30 cms),22,23,8,39,19,26
fra,32,507,veg_c (above ground biomass),5,5,1,134,1,8
fra,32,507,veg_c (below ground biomass),2,2,0,45,0,3
arg,212,1206,clay content (0-30 cms),24,23,8,39,19,26
fra,32,1001,veg_c (above ground biomass),4,1,1,133,1,8
fra,32,1001,veg_c (below ground biomass),1,1,0,49,0,3
arg,212,1207,clay content (0-30 cms),21,23,8,39,19,26
fra,32,1002,veg_c (above ground biomass),4,1,1,133,1,8
fra,32,1002,veg_c (below ground biomass),1,1,0,49,0,3
arg,215,1,clay content (0-30 cms),22,23,0,33,21,26
fra,32,1003,veg_c (above ground biomass),5,1,1,136,1,8
fra,32,1003,veg_c (below ground biomass),2,0,0,46,0,3
arg,215,2,clay content (0-30 cms),4,23,0,33,21,26
fra,32,1005,veg_c (above ground biomass),4,1,1,135,1,8
fra,32,1005,veg_c (below ground biomass),2,0,0,47,0,3
arg,215,3,clay content (0-30 cms),17,23,0,33,21,26
fra,32,1006,veg_c (above ground biomass),5,1,1,135,1,8
fra,32,1006,veg_c (below ground biomass),2,0,0,46,0,3
arg,215,5,clay content (0-30 cms),27,23,0,33,21,26
fra,32,1007,veg_c (above ground biomass),5,1,1,135,1,8
fra,32,1007,veg_c (below ground biomass),2,0,0,47,0,3
arg,215,6,clay content (0-30 cms),17,23,0,33,21,26
fra,36,501,veg_c (above ground biomass),3,2,1,96,1,7
fra,36,501,veg_c (below ground biomass),1,1,0,36,0,3
arg,215,7,clay content (0-30 cms),23,23,0,33,21,26
fra,36,502,veg_c (above ground biomass),3,2,1,95,1,7
fra,36,502,veg_c (below ground biomass),1,1,0,37,0,3
aut,32,501,clay content (0-30 cms),23,23,14,27,20,26
fra,36,505,veg_c (above ground biomass),4,2,1,95,1,7
fra,36,505,veg_c (below ground biomass),1,1,0,37,0,3
aut,32,502,clay content (0-30 cms),23,23,14,27,20,26
fra,36,507,veg_c (above ground biomass),4,2,1,96,1,7
fra,36,507,veg_c (below ground biomass),1,1,0,36,0,3
aut,32,503,clay content (0-30 cms),24,23,14,27,20,26
fra,36,1001,veg_c (above ground biomass),3,1,1,90,1,7
fra,36,1001,veg_c (below ground biomass),1,0,0,35,0,3
aut,32,505,clay content (0-30 cms),20,23,14,27,20,26
fra,36,1002,veg_c (above ground biomass),3,1,1,90,1,7
fra,36,1002,veg_c (below ground biomass),1,0,0,35,0,3
aut,32,506,clay content (0-30 cms),24,23,14,27,20,26
fra,36,1005,veg_c (above ground biomass),2,1,1,83,1,6
fra,36,1005,veg_c (below ground biomass),1,0,0,42,0,3
aut,32,507,clay content (0-30 cms),19,23,14,27,20,26
fra,36,1007,veg_c (above ground biomass),3,1,1,88,1,7
fra,36,1007,veg_c (below ground biomass),1,0,0,37,0,3
bfa,160,1001,clay content (0-30 cms),25,23,10,39,17,26
bfa,160,1002,clay content (0-30 cms),24,23,10,39,17,26
bra,186,201,clay content (0-30 cms),22,23,16,34,20,26
bra,186,202,clay content (0-30 cms),24,23,16,34,20,26
bra,186,205,clay content (0-30 cms),21,23,16,34,20,26
fra,41,301,veg_c (above ground biomass),3,3,0,78,1,4
fra,41,301,veg_c (below ground biomass),1,1,0,32,1,2
bra,186,207,clay content (0-30 cms),20,23,16,34,20,26
fra,41,302,veg_c (above ground biomass),2,2,0,76,1,4
fra,41,302,veg_c (below ground biomass),1,1,0,34,1,2
chl,207,801,clay content (0-30 cms),22,23,0,33,18,26
fra,41,305,veg_c (above ground biomass),2,2,0,71,1,4
fra,41,305,veg_c (below ground biomass),1,1,0,39,1,2
chl,207,802,clay content (0-30 cms),22,23,0,33,18,26
fra,41,307,veg_c (above ground biomass),2,2,0,71,1,4
fra,41,307,veg_c (below ground biomass),1,1,0,39,1,2
chl,212,1301,clay content (0-30 cms),24,23,23,26,23,26
fra,41,401,veg_c (above ground biomass),4,2,0,114,1,7
fra,41,401,veg_c (below ground biomass),1,1,0,41,0,2
chl,212,1302,clay content (0-30 cms),24,23,23,26,23,26
fra,41,402,veg_c (above ground biomass),3,2,0,110,1,6
fra,41,402,veg_c (below ground biomass),1,1,0,45,0,3
chl,212,1401,clay content (0-30 cms),23,23,21,26,21,26
fra,41,403,veg_c (above ground biomass),5,2,0,115,1,7
fra,41,403,veg_c (below ground biomass),2,1,0,40,0,2
chl,212,1402,clay content (0-30 cms),24,23,21,26,21,26
fra,41,405,veg_c (above ground biomass),4,2,0,113,1,7
fra,41,405,veg_c (below ground biomass),1,1,0,42,0,2
ita,57,401,clay content (0-30 cms),15,23,7,38,14,26
fra,41,406,veg_c (above ground biomass),5,2,0,115,1,7
fra,41,406,veg_c (below ground biomass),2,1,0,40,0,2
ita,57,402,clay content (0-30 cms),23,23,7,38,14,26
fra,41,407,veg_c (above ground biomass),4,2,0,114,1,7
fra,41,407,veg_c (below ground biomass),1,1,0,41,0,2
ita,57,403,clay content (0-30 cms),15,23,7,38,14,26
fra,41,501,veg_c (above ground biomass),4,4,0,111,1,7
fra,41,501,veg_c (below ground biomass),1,1,0,42,0,3
ita,57,405,clay content (0-30 cms),25,23,7,38,14,26
fra,41,502,veg_c (above ground biomass),4,4,0,112,1,7
fra,41,502,veg_c (below ground biomass),2,1,0,41,0,3
ita,57,406,clay content (0-30 cms),13,23,7,38,14,26
fra,41,503,veg_c (above ground biomass),5,4,0,114,1,8
fra,41,503,veg_c (below ground biomass),2,1,0,39,0,3
ita,57,407,clay content (0-30 cms),15,23,7,38,14,26
fra,41,505,veg_c (above ground biomass),3,4,0,109,1,7
fra,41,505,veg_c (below ground biomass),1,1,0,44,0,3
kaz,56,1301,clay content (0-30 cms),19,23,11,33,17,26
fra,41,506,veg_c (above ground biomass),5,4,0,111,1,7
fra,41,506,veg_c (below ground biomass),2,1,0,42,0,3
kaz,56,1302,clay content (0-30 cms),23,23,11,33,17,26
fra,41,507,veg_c (above ground biomass),4,4,0,111,1,7
fra,41,507,veg_c (below ground biomass),1,1,0,42,0,3
kaz,56,1303,clay content (0-30 cms),16,23,11,33,17,26
fra,41,701,veg_c (above ground biomass),1,1,0,72,1,4
fra,41,701,veg_c (below ground biomass),1,1,0,54,1,3
kaz,56,1305,clay content (0-30 cms),17,23,11,33,17,26
fra,41,702,veg_c (above ground biomass),2,1,0,84,1,4
fra,41,702,veg_c (below ground biomass),1,1,0,42,1,2
kaz,56,1306,clay content (0-30 cms),16,23,11,33,17,26
fra,41,705,veg_c (above ground biomass),1,1,0,74,1,4
fra,41,705,veg_c (below ground biomass),1,1,0,51,1,3
kaz,56,1307,clay content (0-30 cms),17,23,11,33,17,26
fra,41,707,veg_c (above ground biomass),2,1,0,80,1,4
fra,41,707,veg_c (below ground biomass),1,1,0,46,1,2
kor,65,401,clay content (0-30 cms),24,23,11,33,20,26
kor,65,402,clay content (0-30 cms),23,23,11,33,20,26
kor,65,403,clay content (0-30 cms),23,23,11,33,20,26
kor,65,405,clay content (0-30 cms),23,23,11,33,20,26
kor,65,406,clay content (0-30 cms),23,23,11,33,20,26
fra,41,901,veg_c (above ground biomass),1,1,0,13,0,1
fra,41,901,veg_c (below ground biomass),1,1,1,15,1,1
kor,65,407,clay content (0-30 cms),23,23,11,33,20,26
fra,41,902,veg_c (above ground biomass),1,1,0,12,0,1
fra,41,902,veg_c (below ground biomass),1,1,1,15,1,1
mli,160,1002,clay content (0-30 cms),23,23,14,28,18,26
fra,41,905,veg_c (above ground biomass),2,1,1,18,1,2
fra,41,905,veg_c (below ground biomass),1,1,0,10,0,1
mli,160,1005,clay content (0-30 cms),25,23,14,28,18,26
fra,41,907,veg_c (above ground biomass),2,1,1,18,1,2
fra,41,907,veg_c (below ground biomass),1,1,0,10,0,1
pak,102,1201,clay content (0-30 cms),24,23,9,31,20,26
fra,41,1001,veg_c (above ground biomass),3,2,0,116,1,6
fra,41,1001,veg_c (below ground biomass),1,1,0,46,0,2
pak,102,1202,clay content (0-30 cms),22,23,9,31,20,26
fra,41,1002,veg_c (above ground biomass),3,2,0,114,1,5
fra,41,1002,veg_c (below ground biomass),1,1,0,48,0,2
pak,102,1205,clay content (0-30 cms),23,23,9,31,20,26
fra,41,1003,veg_c (above ground biomass),1,1,0,87,1,4
fra,41,1003,veg_c (below ground biomass),1,1,0,74,1,4
pak,102,1207,clay content (0-30 cms),25,23,9,31,20,26
fra,41,1005,veg_c (above ground biomass),3,2,0,113,1,5
fra,41,1005,veg_c (below ground biomass),1,1,0,48,0,2
per,180,1301,clay content (0-30 cms),23,23,5,39,19,26
fra,41,1006,veg_c (above ground biomass),1,1,0,90,1,4
fra,41,1006,veg_c (below ground biomass),1,1,0,71,1,3
per,180,1302,clay content (0-30 cms),23,23,5,39,19,26
fra,41,1007,veg_c (above ground biomass),2,1,0,110,1,5
fra,41,1007,veg_c (below ground biomass),1,1,0,52,0,2
per,180,1303,clay content (0-30 cms),27,23,5,39,19,26
fra,41,1101,veg_c (above ground biomass),4,5,0,93,2,6
fra,41,1101,veg_c (below ground biomass),2,2,0,32,1,2
per,180,1305,clay content (0-30 cms),21,23,5,39,19,26
fra,41,1102,veg_c (above ground biomass),4,5,0,92,2,6
fra,41,1102,veg_c (below ground biomass),1,2,0,33,1,2
per,180,1306,clay content (0-30 cms),21,23,5,39,19,26
fra,41,1103,veg_c (above ground biomass),6,5,0,94,2,6
fra,41,1103,veg_c (below ground biomass),2,2,0,31,1,2
per,180,1307,clay content (0-30 cms),23,23,5,39,19,26
fra,41,1105,veg_c (above ground biomass),5,5,0,93,2,6
fra,41,1105,veg_c (below ground biomass),2,2,0,32,1,2
per,200,1301,clay content (0-30 cms),22,23,14,33,19,26
fra,41,1106,veg_c (above ground biomass),6,5,0,94,2,6
fra,41,1106,veg_c (below ground biomass),2,2,0,31,1,2
per,200,1302,clay content (0-30 cms),22,23,14,33,19,26
fra,41,1107,veg_c (above ground biomass),6,5,0,94,2,6
fra,41,1107,veg_c (below ground biomass),2,2,0,31,1,2
per,200,1305,clay content (0-30 cms),22,23,14,33,19,26
fra,41,1301,veg_c (below ground biomass),1,0,1,99,0,8
per,200,1307,clay content (0-30 cms),22,23,14,33,19,26
fra,41,1302,veg_c (below ground biomass),1,1,1,105,0,9
svn,55,601,clay content (0-30 cms),22,23,16,27,16,26
fra,41,1303,veg_c (above ground biomass),1,0,0,69,0,6
fra,41,1303,veg_c (below ground biomass),1,0,0,57,0,5
svn,55,602,clay content (0-30 cms),21,23,16,27,16,26
fra,41,1305,veg_c (above ground biomass),1,0,0,80,0,7
fra,41,1305,veg_c (below ground biomass),1,0,0,46,0,4
svn,55,603,clay content (0-30 cms),21,23,16,27,16,26
fra,41,1306,veg_c (above ground biomass),1,0,0,59,0,5
fra,41,1306,veg_c (below ground biomass),1,0,0,67,0,6
